name,part_url,price,size,color,rpm,airflow,noise_level,pwm
Noctua A8 PWM,https://pcpartpicker.com/product/XK8H99/noctua-case-fan-nfa8pwm,17.95,80,Brown,"450,2200","25.84,32.66","13.8,17.7",true
Lian Li UNI FAN TL LCD 120 Reverse Blade 3-Pack,https://pcpartpicker.com/product/G2n9TW/lian-li-uni-fan-tl-lcd-120-reverse-blade-834-cfm-120-mm-fans-3-pack-12rtllcd3b,,120,Black,,83.4,34,true
Lian Li UNI FAN SL V2 120 Reverse,https://pcpartpicker.com/product/CvvD4D/lian-li-uni-fan-sl-v2-120-reverse-654-cfm-120-mm-fan-rsl120v2-1b,,120,Black,"250,2000",65.4,32,true
Thermalright TL-C12CW-S X5 5-Pack,https://pcpartpicker.com/product/kMqrxr/thermalright-tl-c12cw-s-x5-6617-cfm-120-mm-fans-5-pack-tl-c12cw-s-x5,21.9,120,White,1550,66.17,25.6,true
BGears b-Blaster,https://pcpartpicker.com/product/tQK2FT/bgears-b-blaster-140x38-308-cfm-140-mm-fan-b-blaster-140x38,32.99,140,Black,5200,308,70,false
Phanteks T30-120 3-Pack,https://pcpartpicker.com/product/YwmmP6/phanteks-t30-120-101-cfm-120-mm-fans-3-pack-ph-f120t30_bg_3p,117.99,120,Black,,"0,101","0,39.7",true
Corsair iCUE LINK RX120 MAX RGB Starter Kit 3-Pack,https://pcpartpicker.com/product/2Q88TW/corsair-icue-link-rx120-max-rgb-starter-kit-713-cfm-120-mm-fans-3-pack-co-9051034-ww,169.99,120,Black,"400,2000","16.3,71.3","10,29.5",true
NZXT F120P (2024),https://pcpartpicker.com/product/KP4Zxr/nzxt-f120p-2024-7347-cfm-120-mm-fan-rf-p12sf-b2,17.99,120,Black,"500,2000",73.47,30,true
NZXT F120 RGB 3-Pack,https://pcpartpicker.com/product/ptVmP6/nzxt-f120-rgb-5018-cfm-120-mm-fans-3-pack-rf-r12tf-b1,97.99,120,Black,"500,1800","13.94,50.18","17.2,27.5",true
Thermalright TL-C12B-S V3,https://pcpartpicker.com/product/s6Kscf/thermalright-tl-c12b-s-v3-6617-cfm-120-mm-fan-tl-c12b-s-v3,7.79,120,Black,1500,66.17,25.6,true
DARKROCK BK3 3-Pack,https://pcpartpicker.com/product/WQxTwP/darkrock-bk3-478-cfm-120-mm-fans-3-pack-bk3,10.99,120,Black,1200,47.8,32.1,false
Asus TUF Gaming TR120 ARGB 3-Pack,https://pcpartpicker.com/product/gvnXsY/asus-tuf-gaming-tr120-argb-774-cfm-120-mm-fans-3-pack-tuf-gaming-tr120-fan-argb-black-3in1,73.98,120,Black,2000,77.4,29,true
Lian Li UNI FAN TL LCD Wireless 3-Pack,https://pcpartpicker.com/product/YWXMnQ/lian-li-uni-fan-tl-lcd-wireless-62-cfm-120-mm-fans-3-pack-12tllcd1w3b,134.5,120,Black,"350,1900",62,27,true
Corsair RS140 ARGB,https://pcpartpicker.com/product/gbmNnQ/corsair-rs140-argb-955-cfm-140-mm-fan-co-9050182-ww,32.99,140,Black,"330,1700","14.6,95.5","10,36",true
Thermalright TL-C14C,https://pcpartpicker.com/product/2p4Zxr/thermalright-tl-c14c-758-cfm-140-mm-fan-tl-c14c,9.99,140,Black,1500,75.8,26.4,true
Thermalright TL-M12QRW X3 3-Pack,https://pcpartpicker.com/product/bRwD4D/thermalright-tl-m12qrw-x3-476-cfm-120-mm-fans-3-pack-tl-m12qrw-x3,34.9,120,White,1500,47.6,23.2,true
Lian Li UNI FAN SL Wireless LCD 3-Pack,https://pcpartpicker.com/product/GBsV3C/lian-li-uni-fan-sl-wireless-lcd-5008-cfm-120-mm-fans-3-pack-12sllcd1w3b,117.99,120,Black,"350,1900",50.08,29.5,true
Thermalright TL-C12CW-S,https://pcpartpicker.com/product/WhRwrH/thermalright-tl-c12cw-s-6617-cfm-120-mm-fan-tl-c12cw-s,6.69,120,White,1550,66.17,25.6,true
be quiet! Light Wings PWM high-speed 3-Pack,https://pcpartpicker.com/product/KyZ9TW/be-quiet-light-wings-pwm-high-speed-523-cfm-120-mm-fans-3-pack-bl077,74.9,120,Black,2500,52.3,31,true
Phanteks M25G2-120 D-RGB 3-Pack,https://pcpartpicker.com/product/whgZxr/phanteks-m25g2-120-d-rgb-7272-cfm-120-mm-fans-3-pack-ph-f120m25_g2_dbk01-_3p,56.98,120,Black,"350,2000",72.72,35.13,true
be quiet! Silent Wings 4,https://pcpartpicker.com/product/ZVpzK8/be-quiet-silent-wings-4-767-cfm-120-mm-fan-bl094,27.9,120,Black,2500,76.7,"32.1,31.2",true
