name,part_url,price,type,efficiency,wattage,modular,color
NZXT E500,https://pcpartpicker.com/product/LPc48d/nzxt-e500-500-w-80-gold-certified-fully-modular-atx-power-supply-np-1pm-e500a,,ATX,gold,500,Full,Black
SeaSonic FOCUS SGX,https://pcpartpicker.com/product/rRFKHx/seasonic-focus-sgx-500-w-80-gold-certified-fully-modular-sfx-power-supply-ssr-500sgx,,SFX,gold,500,Full,Black
Cooler Master V850 Gold V2,https://pcpartpicker.com/product/pkpmP6/cooler-master-v850-gold-v2-850-w-80-gold-certified-fully-modular-atx-power-supply-mpy-850v-afbag,,ATX,gold,850,Full,Black
Cooler Master MWE Bronze V2,https://pcpartpicker.com/product/gxxbt6/cooler-master-mwe-bronze-v2-600-w-80-bronze-certified-atx-power-supply-mpe-6001-acaab-us,,ATX,bronze,600,false,Black
NZXT HALE82 V2 550W,https://pcpartpicker.com/product/kbBv6h/nzxt-hale82-v2-550w-550-w-80-bronze-certified-fully-modular-atx-power-supply-v2-550w,,ATX,bronze,550,Full,
Azza PSAZ-750PT14,https://pcpartpicker.com/product/pQkD4D/azza-power-supply-psaz750pt14,,ATX,platinum,750,Semi,
SeaSonic VERTEX GX-750,https://pcpartpicker.com/product/76vdnQ/seasonic-vertex-gx-750-750-w-80-gold-certified-fully-modular-atx-power-supply-vertex-gx-750,,ATX,gold,750,Full,Black / Silver
Thermaltake Toughpower iRGB PLUS TT Premium Edition,https://pcpartpicker.com/product/6qwmP6/thermaltake-toughpower-irgb-plus-tt-premium-edition-1250-w-80-titanium-certified-fully-modular-atx-power-supply-ps-tpi-1250f3fdta-1,,ATX,titanium,1250,Full,Black
Cooler Master MWE 400,https://pcpartpicker.com/product/VLbwrH/cooler-master-mwe-400w-80-certified-atx-power-supply-mpw-4002-acabw-eu,,ATX,plus,400,false,Black
Cooler Master V650,https://pcpartpicker.com/product/3t8H99/cooler-master-power-supply-rs650afbag1us,,ATX,gold,650,Full,
Lian Li EDGE GOLD,https://pcpartpicker.com/product/vgwD4D/lian-li-edge-gold-750-w-80-gold-certified-fully-modular-atx-power-supply-eg0750g-white,,ATX,gold,750,Full,White
GAMDIAS KRATOS E1,https://pcpartpicker.com/product/pNvqqs/gamdias-kratos-e1-500-w-80-certified-atx-power-supply-kratos-e1-500,,ATX,plus,500,false,Black
be quiet! Pure Power 10,https://pcpartpicker.com/product/nq2rxr/be-quiet-pure-power-10-700w-80-silver-certified-atx-power-supply-bn275,,ATX,silver,700,false,
SeaSonic Platinum,https://pcpartpicker.com/product/PRW9TW/seasonic-power-supply-platinum1000,,ATX,platinum,1000,Full,
Cooler Master Silent Pro M,https://pcpartpicker.com/product/GR3RsY/cooler-master-power-supply-rs700ambad3,,ATX,bronze,700,Full,
SeaSonic FOCUS Plus Platinum,https://pcpartpicker.com/product/yc38TW/seasonic-focus-plus-platinum-650w-80-platinum-certified-fully-modular-atx-power-supply-ssr-650px,,ATX,platinum,650,Full,
SeaSonic SSP-300ST,https://pcpartpicker.com/product/hgL7YJ/seasonic-power-supply-ssp300st,,ATX,bronze,300,false,
1STPLAYER NGDP,https://pcpartpicker.com/product/xTzp99/1stplayer-ngdp-1000-w-80-gold-certified-fully-modular-atx-power-supply-ngdp-gld-1000-bk-us,,ATX,gold,1000,Full,Black
In Win P105II,https://pcpartpicker.com/product/mBYRsY/in-win-p105ii-1050-w-80-platinum-certified-fully-modular-atx-power-supply-iw-ps-pii1050w,199,ATX,platinum,1050,Full,Black
Deepcool DQ650-M-V2L,https://pcpartpicker.com/product/9fYmP6/deepcool-dq650-m-v2l-650-w-80-gold-certified-fully-modular-atx-power-supply-dp-dq650-m-v2l,,ATX,gold,650,Full,Black
NOX Hummer GD,https://pcpartpicker.com/product/QtnG3C/nox-power-supply-nxhummer750gd,,ATX,gold,750,false,
LC-Power LC V2.31,https://pcpartpicker.com/product/nTMMnQ/lc-power-lc-v231-400-w-tfx-power-supply-lc400tfx-v231,,TFX,,400,false,Black
Thermaltake Smart SE,https://pcpartpicker.com/product/bXjG3C/thermaltake-smart-se-630-w-semi-modular-atx-power-supply-sps-630m,,ATX,,630,Semi,
SilentiumPC Supremo FM2,https://pcpartpicker.com/product/x3BhP6/silentiumpc-supremo-fm2-650-w-80-gold-certified-fully-modular-atx-power-supply-spc168,,ATX,gold,650,Full,Black
PC Cooler YN750,https://pcpartpicker.com/product/CgqNnQ/pc-cooler-yn750-750-w-80-gold-certified-fully-modular-atx-power-supply-p5-yn750-g1ffbk1-us,,ATX,gold,750,Full,Black
PREYON Eagle Power Gaming,https://pcpartpicker.com/product/TVbypg/preyon-eagle-power-gaming-750-w-80-gold-certified-fully-modular-atx-power-supply-pepg750w,,ATX,gold,750,Full,Black
Thermaltake TR2,https://pcpartpicker.com/product/bH98TW/thermaltake-power-supply-pstr20500npcbusb,,ATX,bronze,500,false,
Cooler Master V1200,https://pcpartpicker.com/product/VqK7YJ/cooler-master-power-supply-rsc00afbag1us,,ATX,platinum,1200,Full,
Xilence XP400R6,https://pcpartpicker.com/product/fbVD4D/xilence-xp400r6-400-w-atx-power-supply-xn041,,ATX,,400,false,Black / Red
EVGA SuperNOVA 850 B2,https://pcpartpicker.com/product/29xfrH/evga-supernova-850-b2-850-w-80-bronze-certified-semi-modular-atx-power-supply-110-b2-0850-v1,,ATX,bronze,850,Semi,
SeaSonic SS-850HT Silver,https://pcpartpicker.com/product/PTh9TW/seasonic-power-supply-ss850htsilver,100,ATX,silver,850,false,
