name,part_url,price,bd,dvd,cd,bd_write,dvd_write,cd_write
Lite-On iHBS212-08,https://pcpartpicker.com/product/gVvRsY/lite-on-optical-drive-ihbs21208,,8,16,48,12/8/2/2,16/8/8/16/6/8/12,48/24
Pioneer BDR-206DBKS,https://pcpartpicker.com/product/86W9TW/pioneer-optical-drive-bdr206dbks,,8,16,40,12/12/2/2,16/8/8/16/6/8/-,40/24
Pioneer DVR-118LBK,https://pcpartpicker.com/product/m6W9TW/pioneer-optical-drive-dvr118lbk,,,22,40,,22/8/12/22/6/12/12,40/32
Plextor PX-B940SA-11,https://pcpartpicker.com/product/tMW9TW/plextor-optical-drive-pxb940sa11,,8,16,40,12/12/2/2,16/8/8/16/6/8/5,40/24
Samsung SH-222AL,https://pcpartpicker.com/product/N8tCmG/samsung-optical-drive-sh222al,,,16,48,,22/8/16/22/6/12/12,48/24
Sony AD-7261S-0B,https://pcpartpicker.com/product/6GZQzy/sony-optical-drive-ad7261s0b,,,16,48,,24/8/12/24/6/12/12,48/32
Sony AD-7690H-01,https://pcpartpicker.com/product/GpPfrH/sony-optical-drive-ad7690h01,,,8,24,,8/8/6/8/6/6/5,24/24
Sony AD-7710H-01,https://pcpartpicker.com/product/VjrG3C/sony-optical-drive-ad7710h01,,,8,24,,8/8/6/8/6/6/5,24/24
Sony BD-5300S-0B,https://pcpartpicker.com/product/wxBv6h/sony-optical-drive-bd5300s0b,,8,16,48,12/8/2/2,8/8/6/8/6/6/5,24/16
LG UH12LS28 OEM,https://pcpartpicker.com/product/kVvRsY/lg-optical-drive-uh12ls28oem,,12,16,48,,16/8/8/16/6/8/12,48/24
Plextor PX-L871A,https://pcpartpicker.com/product/vBBv6h/plextor-optical-drive-pxl871a,,,16,48,,22/8/12/22/6/12/12,48/24
Plextor PX-L890SA,https://pcpartpicker.com/product/X4Lypg/plextor-optical-drive-pxl890sa,,,16,48,,24/8/12/24/6/12/12,48/24
Sony DDU1681S-0B,https://pcpartpicker.com/product/mbPfrH/sony-optical-drive-ddu1681s0b,,,18,48,,,
Asus DRW-24B3LT/BLK/G/AS,https://pcpartpicker.com/product/dyn2FT/asus-optical-drive-drw24b3ltblkgas,,,16,48,,24/8/-/24/8/-/-,48/24
Lite-On iHAP422-98,https://pcpartpicker.com/product/BXw323/lite-on-optical-drive-ihap42298,,,16,48,,22/8/8/22/6/8/12,48/32
Lite-On iHAS-324-98B,https://pcpartpicker.com/product/Yv9KHx/lite-on-optical-drive-ihas32498b,,,16,48,,24/8/8/24/6/8/12,48/32
Plextor PX-L890SA R,https://pcpartpicker.com/product/hhzv6h/plextor-optical-drive-pxl890sar,,,16,48,,24/8/12/24/6/12/12,48/24
Samsung SH-S222A,https://pcpartpicker.com/product/gv9KHx/samsung-optical-drive-shs222a,,,16,48,,22/8/16/22/6/12/12,48/32
Lite-On iHDP118-04,https://pcpartpicker.com/product/f8Np99/lite-on-optical-drive-ihdp11804,,,18,48,,,
Lite-On iHDP118-08,https://pcpartpicker.com/product/kLQypg/lite-on-optical-drive-ihdp11808,,,18,48,,,
