name,part_url,price,tracking_method,connection_type,max_dpi,hand_orientation,color
Logitech MX Master 3,https://pcpartpicker.com/product/XBcRsY/logitech-mx-master-3-wireless-laser-mouse-910-005647,133.36,Laser,Wireless,4000,Right,Black / Silver
HP HyperX Pulsefire Haste 2,https://pcpartpicker.com/product/NntLrH/hp-hyperx-pulsefire-haste-2-bluetoothwirelesswired-optical-mouse-6n0b0aa,89.98,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
Logitech M100,https://pcpartpicker.com/product/vhH323/logitech-mouse-910001601,9.79,Optical,Wired,1000,Both,Black
Asus TUF Gaming M3 Gen II,https://pcpartpicker.com/product/yjvD4D/asus-tuf-gaming-m3-gen-ii-wired-optical-mouse-p309-tuf-gaming-m3-gen-ii,22.99,Optical,Wired,8000,Right,Black / Yellow
Razer Viper Mini,https://pcpartpicker.com/product/BDXYcf/razer-viper-mini-wired-optical-mouse-rz01-03250100-r3u1,,Optical,Wired,8500,Right,Black
Razer DeathAdder V2,https://pcpartpicker.com/product/TMMTwP/razer-deathadder-v2-wired-optical-mouse-rz01-03210100-r3u1,,Optical,Wired,20000,Right,Black
Logitech MX MASTER 2S (Black),https://pcpartpicker.com/product/JKvZxr/logitech-mx-master-2s-black-wireless-laser-mouse-910-005131,63.99,Laser,Wireless,4000,Right,Black
Razer Naga V2 Pro w/Dock Pro,https://pcpartpicker.com/product/qg26Mp/razer-naga-v2-pro-wdock-pro-wirelessbluetoothwired-optical-mouse-rzhb-221117-01,222.99,Optical,"Wired, Wireless, Bluetooth Wireless",30000,Right,Black
Genius DX 120,https://pcpartpicker.com/product/cFgPxr/genius-mouse-31010105100,,Optical,Wired,1000,Both,Black
Corsair M75,https://pcpartpicker.com/product/2v7scf/corsair-m75-wirelessbluetoothwired-optical-mouse-ch-931d010-na,58.88,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Both,Black
Corsair SABRE v2 PRO,https://pcpartpicker.com/product/gvYfrH/corsair-sabre-v2-pro-wirelesswired-optical-mouse-ch-931g001-ww,93.98,Optical,"Wired, Wireless",33000,Right,White
Corsair SCIMITAR ELITE WIRELESS MMO,https://pcpartpicker.com/product/dP88TW/corsair-scimitar-elite-wireless-mmo-wirelessbluetoothwired-optical-mouse-ch-9314311-na,121.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
SteelSeries Aerox 3 (2022),https://pcpartpicker.com/product/TvFbt6/steelseries-aerox-3-2022-wiredbluetoothwireless-optical-mouse-62612,97.98,Optical,"Wired, Wireless, Bluetooth Wireless",18000,Right,Black
Razer DeathAdder V3 Pro,https://pcpartpicker.com/product/ZCH7YJ/razer-deathadder-v3-pro-wireless-optical-mouse-rz01-04630200-r3u1,129.99,Optical,Wireless,30000,Right,White
Logitech MX Master 4,https://pcpartpicker.com/product/9QxTwP/logitech-mx-master-4-wirelessbluetooth-optical-mouse-910-007559,119.99,Optical,"Wireless, Bluetooth Wireless",8000,Right,Gray
Asus ROG Chakram X Origin,https://pcpartpicker.com/product/4LpQzy/asus-rog-chakram-x-origin-wiredwirelessbluetooth-optical-mouse-p708-rog-chakram-x-o,135.99,Optical,"Wired, Wireless, Bluetooth Wireless",36000,Right,Black
Logitech G600 MMO Gaming Mouse,https://pcpartpicker.com/product/ytZQzy/logitech-mouse-910002864,,Laser,Wired,8200,Right,Black
Logitech G705,https://pcpartpicker.com/product/jJJgXL/logitech-g705-wirelesswiredbluetooth-optical-mouse-910-006365,64.98,Optical,"Wired, Wireless, Bluetooth Wireless",8200,Right,White
Glorious Model O 2,https://pcpartpicker.com/product/2dgrxr/glorious-model-o-2-wiredwirelessbluetooth-optical-mouse-glo-ms-owv2-mw,117.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,White
