name,part_url,price,configuration,wattage,frequency_response,color
Cyber Acoustics CA-2014WB,https://pcpartpicker.com/product/ky6BD3/cyber-acoustics-speakers-ca2014wb,,2,1.5,"85,18",
Genius SP-HF1800A,https://pcpartpicker.com/product/XN8Zxr/genius-speakers-31730936100,,2,50,"20,20",
Genius SW-G2.1,https://pcpartpicker.com/product/b6Gkcf/genius-speakers-31731016101,,2.1,70,"35,20",
KRK VXT 8,https://pcpartpicker.com/product/vvPfrH/krk-speakers-vxt8,,2,360,"37,22",
Behringer MS16,https://pcpartpicker.com/product/4y4NnQ/behringer-speakers-ms16,129,2,16,"80,20",
JBL LSR4328P/PAK,https://pcpartpicker.com/product/dbKhP6/jbl-speakers-lsr4328ppak,,2,140,"50,20",
Creative Labs A250,https://pcpartpicker.com/product/CL98TW/creative-labs-a250-9w-21ch-speakers-51mf0420aa002,,2.1,9,"40,20",
Microlab FC 330,https://pcpartpicker.com/product/H34NnQ/microlab-fc-330-64w-21ch-speakers-microlabfc330,,2.1,64,"35,20",
Genius SP-U115,https://pcpartpicker.com/product/rbtWGX/genius-sp-u115-0w-2ch-speakers-sp-u115,,2,,"200,18",
Swan Speakers M50W,https://pcpartpicker.com/product/ZyKcCJ/swan-speakers-m50w-114w-21ch-speakers-m50w,,2.1,114,"38,20",Brown / Black
Kanto YU2Bamboo,https://pcpartpicker.com/product/VDF48d/kanto-yu2bamboo-50w-2ch-speakers-yu2bamboo,,2,50,"80,20",Brown / Black
