name,part_url,size,color,rpm,airflow,pwm,manufacturer,part_number,connectors
ARCTIC P14 Silent,https://pcpartpicker.com/product/2jw7YJ/arctic-p14-silent-298-cfm-140-mm-fan-acfan00139a,140,Black,950,29.8,False,ARCTIC,ACFAN00139A,3-pin
Enermax SquA RGB 3-Pack,https://pcpartpicker.com/product/gx7p99/enermax-squa-rgb-6827-cfm-120-mm-fans-3-pack-ucsqargb12p-w-bp3,120,White,"300,1500","24.53,68.27",True,Enermax,UCSQARGB12P-W-BP3,4-pin PWM|3-pin 5V Addressable RGB
Gelid Solutions Silent 6,https://pcpartpicker.com/product/ZqdG3C/gelid-solutions-silent-6-16-cfm-60-mm-fan-fn-sx06-32,60,Black / White,3200,16,False,Gelid Solutions,FN-SX06-32,3-pin
Iceberg Thermal IceGALE 2-Pack,https://pcpartpicker.com/product/8N7scf/iceberg-thermal-icegale-96-cfm-140-mm-fans-2-pack-icegale14-b2a,140,Gray,"500,1600",96,True,Iceberg Thermal,ICEGALE14-B2A,4-pin PWM
Evercool EC4028HH12BP,https://pcpartpicker.com/product/FL3RsY/evercool-ec4028hh12bp-40-mm-fan-ec4028hh12bp,40,Black,"3000,12000",,False,Evercool,EC4028HH12BP,3-pin
Evercool EC8038HH12BP,https://pcpartpicker.com/product/77Qypg/evercool-case-fan-ec8038hh12bp,80,Black,"2000,6500",37.1,False,Evercool,EC8038HH12BP,3-pin
Nexus D12SL-12PWM,https://pcpartpicker.com/product/tVkD4D/nexus-d12sl-12pwm-76-cfm-120-mm-fan-d12sl-12pwm,120,Clear,2000,76,True,Nexus,D12SL-12PWM,4-pin PWM
Antec True Quiet,https://pcpartpicker.com/product/sgV48d/antec-case-fan-truequiet120red,120,Red,"600,1000","21.2,35.3",False,Antec,True Quiet 120 RED,3-pin
Scythe Slipstream,https://pcpartpicker.com/product/kP2kcf/scythe-case-fan-sy1225sl12sh,120,Black,1900,110.31,False,Scythe,SY1225SL12SH,3-pin
Silverstone FQ,https://pcpartpicker.com/product/w7PzK8/silverstone-case-fan-fq122,120,White / Blue,"800,1500","37.79,63.8",True,Silverstone,FQ122,4-pin PWM
Silverstone FW,https://pcpartpicker.com/product/GxrcCJ/silverstone-case-fan-fw91,92,Blue / White,"1500,2800","26.8,49.5",True,Silverstone,FW91,4-pin PWM
Silverstone AP,https://pcpartpicker.com/product/Y6m323/silverstone-sst-ap124-argb-255-cfm-120-mm-fan-sst-ap124-argb,120,Black / White,"500,1800","6.37,25.5",True,Silverstone,SST-AP124-ARGB,4-pin PWM|3-pin 5V Addressable RGB
Silverstone FW,https://pcpartpicker.com/product/nssmP6/silverstone-sst-fw142-rgb-6054-cfm-140-mm-fan-sst-fw142-rgb,140,Black,"500,1800","18.77,60.54",True,Silverstone,SST-FW142-RGB,4-pin PWM|4-pin 12V RGB
Enermax T.B. Silence,https://pcpartpicker.com/product/C8cRsY/enermax-uctb9-2718-cfm-92-mm-fan-uctb9,92,Black,1400,27.18,False,Enermax,UCTB9,3-pin
ARCTIC F,https://pcpartpicker.com/product/6sqPxr/arctic-f-53-cfm-120-mm-fan-acfan00203a,120,Black,"230,1350",53,True,ARCTIC,ACFAN00203A,4-pin PWM
ENDORFY Fluctus,https://pcpartpicker.com/product/LKfxFT/endorfy-fluctus-140-mm-fan-ey4a004,140,Black,"250,1800",,True,ENDORFY,EY4A004,4-pin PWM|3-pin 5V Addressable RGB
Alphacool Core,https://pcpartpicker.com/product/vjsMnQ/alphacool-core-7263-cfm-120-mm-fan-24852,120,Black,2500,72.63,True,Alphacool,24852,4-pin PWM
Aerocool Shark,https://pcpartpicker.com/product/JsDwrH/aerocool-case-fan-shark140mmred,140,Red,"800,1500","50,96.5",False,Aerocool,Shark 140mm Red,3-pin
ARCTIC F12,https://pcpartpicker.com/product/qCH323/arctic-arctic-f12-74-cfm-120-mm-fan-afaco-12000-gba01,120,White / Black,1300,74,False,ARCTIC,AFACO-12000-GBA01,3-pin
