name,part_url,type,interface,capacity,color,manufacturer,part_number,rpm,form_factor
LaCie Rugged Mini,https://pcpartpicker.com/product/9Q8bt6/lacie-rugged-mini-2-tb-external-hard-drive-lac9000298,HDD,USB Type-A 3.2 Gen 1,2000,Orange / Silver,LaCie,LAC9000298|9000298,5400.0,External
Western Digital My Book,https://pcpartpicker.com/product/LcHRsY/western-digital-my-book-6tb-external-hard-drive-wdbbgb0060hbk-nesn,HDD,USB Type-A 3.2 Gen 1,6000,Black,Western Digital,WDBBGB0060HBK-NESN,5400.0,External
ADATA CH11,https://pcpartpicker.com/product/q7kD4D/a-data-external-hard-drive-ach11500gu3cbk,HDD,USB Type-A 3.2 Gen 1,500,,ADATA,ACH11-500GU3-CBK,,External
Western Digital ELEMENTS,https://pcpartpicker.com/product/pbFPxr/western-digital-external-hard-drive-wdbuzg0010bbknesn,HDD,USB Type-A 3.2 Gen 1,1000,,Western Digital,WDBUZG0010BBK-NESN,,External
Seagate Expansion,https://pcpartpicker.com/product/F46BD3/seagate-external-hard-drive-stbv4000100,HDD,USB Type-A 3.2 Gen 1,4000,,Seagate,STBV4000100,,External
Crucial X9,https://pcpartpicker.com/product/MWwmP6/crucial-x9-4-tb-external-ssd-ct4000x9ssd9,SSD,USB Type-C 3.2 Gen 2,4000,Black,Crucial,CT4000X9SSD9,,External
Seagate One Touch,https://pcpartpicker.com/product/Zx4Ycf/seagate-one-touch-10-tb-external-hard-drive-stlc10000400,HDD,USB Type-A 3.2 Gen 1,10000,Black,Seagate,STLC10000400,,External
Crucial X9,https://pcpartpicker.com/product/GZvD4D/crucial-x9-2-tb-external-ssd-ct2000x9ssd9,SSD,USB Type-C 3.2 Gen 2,2000,Black,Crucial,CT2000X9SSD9,,External
Western Digital ELEMENTS,https://pcpartpicker.com/product/3bcRsY/western-digital-elements-12-tb-external-hard-drive-wdbwlg0120hbk-nesn,HDD,USB Type-A 3.2 Gen 1,12000,,Western Digital,WDBWLG0120HBK-NESN,,External
TEAMGROUP PD1000,https://pcpartpicker.com/product/3yYRsY/teamgroup-pd1000-512-gb-external-ssd-t8fed6512g0c108,SSD,USB Type-C 3.2 Gen 2,512,Teal,TEAMGROUP,T8FED6512G0C108,,External
Western Digital WD_BLACK P10,https://pcpartpicker.com/product/yTMTwP/western-digital-wd_black-p10-4-tb-external-hard-drive-wdba3a0040bbk-wesn,HDD,USB Type-A 3.2 Gen 1,4000,Black,Western Digital,WDBA3A0040BBK-WESN,5400.0,External
Western Digital easystore,https://pcpartpicker.com/product/zXytt6/western-digital-easystore-8-tb-external-hard-drive-wdbama0080hbk-nesn,HDD,"USB Type-A 2.0, USB Type-A 3.2 Gen 1",8000,Black,Western Digital,WDBAMA0080HBK-NESN,5400.0,External
Corsair EX100U,https://pcpartpicker.com/product/n67G3C/corsair-ex100u-2-tb-external-ssd-cssd-ex100u2tb,SSD,USB Type-C 3.2 Gen 2x2,2000,Black,Corsair,CSSD-EX100U2TB,,External
Samsung T7 Portable,https://pcpartpicker.com/product/9WRgXL/samsung-t7-portable-2-tb-external-ssd-mu-pc2t0ham,SSD,USB Type-C 3.2 Gen 1,2000,Blue / Silver,Samsung,MU-PC2T0H/AM,,External
Samsung T7 Shield,https://pcpartpicker.com/product/9rKKHx/samsung-t7-shield-2-tb-external-ssd-mu-pe2t0sam,SSD,USB Type-C 3.2 Gen 2,2000,Black,Samsung,MU-PE2T0S/AM,,External
Samsung T7 Portable,https://pcpartpicker.com/product/RG4BD3/samsung-t7-portable-1-tb-external-ssd-mu-pc1t0ham,SSD,USB Type-C 3.2 Gen 1,1000,Blue / Silver,Samsung,MU-PC1T0H/AM,,External
Corsair EX400U SURVIVOR,https://pcpartpicker.com/product/LrXMnQ/corsair-ex400u-survivor-1-tb-external-ssd-cssd-ex400us1tb,SSD,USB Type-C 4.0 Gen 3x2,1000,Black,Corsair,CSSD-EX400US1TB,,External
Western Digital ELEMENTS,https://pcpartpicker.com/product/XPcBD3/western-digital-elements-18-tb-external-hard-drive-wdbwlg0180hbk-nesn,HDD,USB Type-A 3.2 Gen 1,18000,Black,Western Digital,WDBWLG0180HBK-NESN|WDBBKG0180HBK-AESN,,External
Western Digital easystore,https://pcpartpicker.com/product/Pmxbt6/western-digital-easystore-12-tb-external-hard-drive-wdbcka0120hbk-nesn,HDD,USB Type-A 3.2 Gen 1,12000,,Western Digital,WDBCKA0120HBK-NESN,5400.0,External
Western Digital My Passport,https://pcpartpicker.com/product/jCfFf7/western-digital-4-tb-external-hard-drive-wdbpkj0040brd-wesn,HDD,USB Type-A 3.2 Gen 1,4000,Red,Western Digital,WDBPKJ0040BRD-WESN,5400.0,External
Apricorn ASSD-3PL256-120F,https://pcpartpicker.com/product/QntWGX/apricom-external-hard-drive-assd3pl256120f,SSD,USB Type-A 2.0,120,,Apricorn,ASSD-3PL256-120F,,External
Seagate Expansion,https://pcpartpicker.com/product/zyfmP6/seagate-external-hard-drive-steb2000100,HDD,USB Type-A 3.2 Gen 1,2000,,Seagate,STEB2000100,,External
Western Digital My Book Thunderbolt Duo,https://pcpartpicker.com/product/Wtw323/western-digital-external-hard-drive-wdbusk0040jslnesn,HDD,Thunderbolt,4000,,Western Digital,WDBUSK0040JSL-NESN,7200.0,External
Seagate Backup Plus Slim,https://pcpartpicker.com/product/4cdxFT/seagate-backup-plus-slim-1-tb-external-hard-drive-sthn1000400,HDD,USB Type-A 3.2 Gen 1,1000,Black,Seagate,STHN1000400,,External
Toshiba Canvio Basics 3.0,https://pcpartpicker.com/product/Fh4gXL/toshiba-external-hard-drive-hdtb220xk3ca,HDD,,2000,,Toshiba,HDTB220XK3CA,5400.0,External
Crucial X9 Pro,https://pcpartpicker.com/product/dbTZxr/crucial-x9-pro-4-tb-external-ssd-ct4000x9prossd902,SSD,USB Type-C 3.2 Gen 2,4000,Silver,Crucial,CT4000X9PROSSD902,,External
