name,part_url,type,color,psu,side_panel,manufacturer,part_number,int_35_bays,ext_525_bays,ext_35_bays,int_25_bays,expansion_slots_full_height,expansion_slots_half_height,expansion_slots_riser,length,width,height,max_gpu_len,max_cpu_cooler_height,mobo_form_factor,front_panel_usb,radiator_support,fan_support
Zalman Z12,https://pcpartpicker.com/product/nzJwrH/zalman-case-z12,ATX Mid Tower,Black,,,Zalman,Z12,5,4,0,1,7,0,0,213.0,469.0,477.0,290.0,,ATX|Micro ATX|Mini ITX,USB 3.2 Gen 1 Type-A|USB 2.0 Type-A,120 mm,120 mm
Apevia 837344000652,https://pcpartpicker.com/product/WKvRsY/apevia-case-837344000652,ATX Mid Tower,Silver,350.0,Acrylic,Apevia,837344000652,4,4,2,0,7,0,0,474.0,196.0,425.0,,,ATX|Micro ATX|Mini ITX,USB 2.0 Type-A,,80 mm
Apevia ATXB8KLW-SS,https://pcpartpicker.com/product/6KvRsY/apevia-case-atxb8klwss,ATX Mid Tower,Silver,,Acrylic,Apevia,ATXB8KLW-SS,4,4,2,0,7,0,0,482.0,196.0,427.0,,,ATX|Micro ATX|Mini ITX,USB 2.0 Type-A,,80 mm
Apevia MX-Pider,https://pcpartpicker.com/product/QJ4gXL/apevia-case-mxpidernwbk500,ATX Full Tower,Black,500.0,,Apevia,MX-PIDER-NW-BK/500,4,4,2,0,7,0,0,482.0,196.0,539.0,,,ATX|Micro ATX|Mini ITX,USB 2.0 Type-A,120 mm,80 mm|120 mm
Apevia MX-Pider,https://pcpartpicker.com/product/rqjG3C/apevia-case-mxpideral500,ATX Full Tower,Silver,500.0,Acrylic,Apevia,MX-PIDER-AL/500,4,4,2,0,7,0,0,482.0,196.0,539.0,,,ATX|Micro ATX|Mini ITX,USB 2.0 Type-A,120 mm,80 mm|120 mm
Apevia X-DMR3,https://pcpartpicker.com/product/Tjdqqs/apevia-case-xdmr3nwal450,ATX Mid Tower,Silver,450.0,,Apevia,X-DMR3-NW-AL/450,6,4,1,0,7,0,0,480.0,185.0,418.0,,,ATX|Micro ATX|Mini ITX,USB 2.0 Type-A,120 mm,120 mm
Apevia X-Dreamer4,https://pcpartpicker.com/product/9gvRsY/apevia-case-xdreamer4al,ATX Mid Tower,Silver,,Acrylic,Apevia,X-DREAMER4-AL,4,4,0,1,7,0,0,495.0,196.0,444.0,,,ATX|Micro ATX|Mini ITX,USB 3.2 Gen 1 Type-A|USB 2.0 Type-A,120 mm,120 mm|200 mm
Apevia X-Dreamer4,https://pcpartpicker.com/product/Rc9KHx/apevia-case-xdreamer4pk,ATX Mid Tower,Pink,,Acrylic,Apevia,X-DREAMER4-PK,4,4,0,1,7,0,0,495.0,196.0,444.0,,,ATX|Micro ATX|Mini ITX,USB 3.2 Gen 1 Type-A|USB 2.0 Type-A,120 mm,120 mm|200 mm
Apex DS-539,https://pcpartpicker.com/product/hfqdnQ/apex-case-ds539,HTPC,Black,275.0,,Apex,DS-539,2,1,1,0,0,4,0,336.0,99.0,431.0,,,Flex ATX|Micro ATX|Mini ITX,USB 3.2 Gen 1 Type-A|USB 2.0 Type-A,,
Apex MI-110,https://pcpartpicker.com/product/yBkD4D/apex-case-mi110,Mini ITX Tower,Black / Silver,250.0,Acrylic,Apex,MI-110,1,1,1,0,1,0,0,220.0,129.0,342.0,,,Mini ITX,USB 2.0 Type-A,,
DIYPC HTPC-KT28B,https://pcpartpicker.com/product/g3Lypg/diypc-case-htpckt28b,HTPC,Black,,,DIYPC,HTPC-KT28B,2,1,0,0,4,0,0,137.0,355.0,386.0,,,Micro ATX|Mini ITX,USB 3.2 Gen 1 Type-A|USB 2.0 Type-A,,
DIYPC MiniQ1,https://pcpartpicker.com/product/Qy6BD3/diypc-case-miniq1w,MicroATX Mini Tower,White,,,DIYPC,MiniQ1-W,2,1,0,0,4,0,0,375.0,162.0,406.0,,,Micro ATX|Mini ITX,USB 2.0 Type-A,,80 mm|120 mm
DIYPC MiniQ7,https://pcpartpicker.com/product/phh9TW/diypc-case-miniq7b,ATX Mini Tower,Black,,,DIYPC,MiniQ7-B,2,1,0,0,7,0,0,375.0,164.0,403.0,,,ATX|Micro ATX|Mini ITX,USB 3.2 Gen 1 Type-A|USB 2.0 Type-A,,80 mm|120 mm
DIYPC MiniQ7,https://pcpartpicker.com/product/K7tCmG/diypc-case-miniq7w,ATX Mini Tower,White,,,DIYPC,MiniQ7-W,2,1,0,0,7,0,0,375.0,164.0,403.0,,,ATX|Micro ATX|Mini ITX,USB 3.2 Gen 1 Type-A|USB 2.0 Type-A,,80 mm|120 mm
DIYPC Skyline,https://pcpartpicker.com/product/RjmLrH/diypc-case-skylinea,ATX Mid Tower,Black,,,DIYPC,Skyline-A,6,4,1,0,7,0,0,419.0,177.0,381.0,,,ATX|Micro ATX|Mini ITX,USB 3.2 Gen 1 Type-A|USB 2.0 Type-A,,80 mm
DIYPC Skyline,https://pcpartpicker.com/product/9hCwrH/diypc-case-skylineb,ATX Mid Tower,Black,,,DIYPC,Skyline-B,6,4,1,0,7,0,0,419.0,177.0,381.0,,,ATX|Micro ATX|Mini ITX,USB 3.2 Gen 1 Type-A|USB 2.0 Type-A,,80 mm
Raidmax ATX-502WBG,https://pcpartpicker.com/product/z4xfrH/raidmax-case-atx502wuu,ATX Mid Tower,Blue / Black,,Acrylic,Raidmax,ATX-502WUU,3,3,0,4,7,0,0,533.0,241.0,463.0,,,ATX|Micro ATX|Mini ITX,USB 3.2 Gen 1 Type-A|USB 2.0 Type-A,120 mm|140 mm|240 mm,120 mm|140 mm|180 mm
Raidmax ATX-502WBG,https://pcpartpicker.com/product/69V48d/raidmax-case-atx502www,ATX Mid Tower,White / Black,,Acrylic,Raidmax,ATX-502WWW,3,3,0,4,7,0,0,533.0,241.0,463.0,,,ATX|Micro ATX|Mini ITX,USB 3.2 Gen 1 Type-A|USB 2.0 Type-A,120 mm|140 mm|240 mm,120 mm|140 mm|180 mm
Raidmax ATX-502WBG,https://pcpartpicker.com/product/pyjG3C/raidmax-case-atx502wtiu,ATX Mid Tower,Black / Silver,,,Raidmax,ATX-502WTIU,3,3,0,4,7,0,0,533.0,241.0,463.0,,,ATX|Micro ATX|Mini ITX,USB 3.2 Gen 1 Type-A|USB 2.0 Type-A,120 mm|140 mm|240 mm,120 mm|140 mm|180 mm
Rosewill FB-04,https://pcpartpicker.com/product/w9V48d/rosewill-case-fb04,ATX Mid Tower,Black,,,Rosewill,FB-04,4,3,1,1,7,0,0,175.0,409.0,370.0,,,ATX|Micro ATX|Mini ITX,USB 2.0 Type-A,120 mm,80 mm|120 mm
Rosewill PATRIOT,https://pcpartpicker.com/product/bwxfrH/rosewill-case-patriot,ATX Mid Tower,Black,,Acrylic,Rosewill,PATRIOT,6,2,1,0,7,0,0,210.0,462.0,533.0,330.0,,ATX|Micro ATX|Mini ITX,USB 3.2 Gen 1 Type-A|USB 2.0 Type-A,120 mm|140 mm,120 mm|140 mm|180 mm
Sentey CS1-1398 PLUS,https://pcpartpicker.com/product/nztCmG/sentey-case-cs11398plus,ATX Mid Tower,Black,,,Sentey,CS1-1398 PLUS,5,3,1,1,7,0,0,414.0,179.0,409.0,,,ATX|Micro ATX|Mini ITX,USB 3.2 Gen 1 Type-A|USB 2.0 Type-A,,120 mm
Sentey CS1-1410,https://pcpartpicker.com/product/cc8Zxr/sentey-case-cs11410,ATX Mid Tower,Black,400.0,,Sentey,CS1-1410,5,3,1,0,7,0,0,414.0,179.0,409.0,,,ATX|Micro ATX|Mini ITX,USB 2.0 Type-A,,120 mm
