name,part_url,socket,form_factor,max_memory,memory_slots,color,manufacturer,part_number,memory_type,memory_speed_max,m2_slots,sata_6_ports,sata_3_ports,pci_x16_slots,pci_x8_slots,pci_x4_slots,pci_x1_slots,pci_slots,mini_pcie_msata_slots,uses_back_connect,ecc_support,header_usb_2_0,header_usb_3_2_gen_1,header_usb_3_2_gen_2,header_usb_3_2_gen_2x2,header_usb_2_0__(single_port)
Gigabyte Z390 AORUS PRO,https://pcpartpicker.com/product/MVPKHx/gigabyte-z390-aorus-pro-atx-lga1151-motherboard-z390-aorus-pro,LGA1151,ATX,128,4,Black / Silver,Gigabyte,Z390 AORUS PRO|GA-Z390-AORUS-PRO,DDR4,4133,2242/2260/2280/22110 M-key|2242/2260/2280 M-key,6,0,3,0,0,3,0,,False,False,2,1,1,0,0
MSI MPG X570S CARBON MAX WIFI,https://pcpartpicker.com/product/JVC48d/msi-mpg-x570s-carbon-max-wifi-atx-am4-motherboard-mpg-x570s-carbon-max-wifi,AM4,ATX,128,4,Black / Silver,MSI,MPG X570S CARBON MAX WIFI|7D52-001R,DDR4,5200,2242/2260/2280/22110 M-key|2242/2260/2280 M-key|2242/2260/2280/22110 M-key|2242/2260/2280 M-key|2230 E-key,8,0,2,0,0,2,0,,False,False,2,2,1,0,0
Asus M5A78L-M PLUS/USB3,https://pcpartpicker.com/product/C2mxFT/asus-m5a78l-m-plususb3-micro-atx-am3-motherboard-m5a78l-m-plususb3,AM3+,Micro ATX,32,4,Black / Blue,Asus,M5A78L-M PLUS/USB3|90MB0RB0-M0EAY0,DDR3,2000,,6,0,1,0,0,1,1,,False,False,2,1,0,0,0
ASRock B360M Pro4,https://pcpartpicker.com/product/vZzkcf/asrock-b360m-pro4-micro-atx-lga1151-motherboard-b360m-pro4,LGA1151,Micro ATX,64,4,Black / Silver,ASRock,B360M Pro4|90-MXB760-A0UAYZ,DDR4,2666,2230/2242/2260/2280 M-key|2230 E-key|2230/2242/2260/2280 M-key,6,0,2,0,0,2,0,,False,False,2,1,0,0,0
Gigabyte B760 AORUS ELITE AX,https://pcpartpicker.com/product/2vwypg/gigabyte-b760-aorus-elite-ax-atx-lga1700-motherboard-b760-aorus-elite-ax,LGA1700,ATX,192,4,Black,Gigabyte,B760 AORUS ELITE AX,DDR5,7600,2280/22110 M-key|2280/22110 M-key|2280/22110 M-key,4,0,3,0,0,0,0,,False,False,2,1,1,0,0
Gigabyte Z790 GAMING PLUS AX,https://pcpartpicker.com/product/XDWJ7P/gigabyte-z790-gaming-plus-ax-atx-lga1700-motherboard-z790-gaming-plus-ax,LGA1700,ATX,256,4,Black / Gray,Gigabyte,Z790 GAMING PLUS AX,DDR5,7600,2280/22110 M-key|2280/22110 M-key|2280/22110 M-key,4,0,3,0,0,0,0,,False,False,2,1,1,0,0
MSI B450M MORTAR,https://pcpartpicker.com/product/FZvbt6/msi-b450m-mortar-atx-am4-motherboard-b450m-mortar,AM4,Micro ATX,64,4,Black,MSI,B450M MORTAR|7B89-001R,DDR4,3466,2242/2260/2280 M-key|2242/2260/2280 M-key,4,0,2,0,0,2,0,,False,False,2,1,0,0,0
Asus STRIX Z270F,https://pcpartpicker.com/product/b3jWGX/asus-strix-z270f-atx-lga1151-motherboard-strix-z270f,LGA1151,ATX,64,4,Black / Silver,Asus,STRIX Z270F|STRIX Z270F GAMING|ROG STRIX Z270F GAMING|90MB0SV0-M0EAY0,DDR4,3866,2242/2260/2280 M-key|2242/2260/2280/22110 M-key,6,0,3,0,0,4,0,,False,False,3,1,0,0,0
Asus TUF GAMING X570-PRO (WI-FI),https://pcpartpicker.com/product/6jFKHx/asus-tuf-gaming-x570-pro-wi-fi-atx-am4-motherboard-tuf-gaming-x570-pro-wi-fi,AM4,ATX,128,4,Black / Gold,Asus,TUF GAMING X570-PRO (WI-FI)|90MB15H0-M0EAY0|90MB15H0-MVAAY0,DDR4,5100,2242/2260/2280/22110 M-key|2242/2260/2280/22110 M-key,8,0,2,0,0,2,0,,False,False,2,1,1,0,0
ASRock Z590M Phantom Gaming 4,https://pcpartpicker.com/product/FZRYcf/asrock-z590m-phantom-gaming-4-micro-atx-lga1200-motherboard-z590m-phantom-gaming-4,LGA1200,Micro ATX,128,4,Silver / Black,ASRock,Z590M Phantom Gaming 4|90-MXBFB0-A0UAYZ,DDR4,4800,2280 M-key (Intel Rocket Lake-based CPUs only)|2280 M-key|2230 E-key,4,0,1,0,1,1,0,,False,False,2,2,0,0,0
ASRock X570D4U-2L2T,https://pcpartpicker.com/product/fBK2FT/asrock-x570d4u-2l2t-micro-atx-am4-motherboard-x570d4u-2l2t,AM4,Micro ATX,128,4,Green / Silver,ASRock,X570D4U-2L2T,DDR4,3200,2242/2260/2280/22110 M-key|2242/2260/2280 M-key,8,0,1,1,0,1,0,,False,False,0,1,0,0,0
