name,part_url,price,amount
Cooler Master MasterGel Regular,https://pcpartpicker.com/product/BWtKHx/cooler-master-mastergel-regular-15-g-thermal-paste-matergel-regular,,1.5
Thermalright Silver King,https://pcpartpicker.com/product/prqBD3/thermalright-silver-king-1-g-thermal-paste-sk1g,,1
Cooler Master MasterGel Pro,https://pcpartpicker.com/product/dhJmP6/cooler-master-mastergel-pro-15-g-thermal-paste-mgy-zosg-n15m-r2,,1.5
ARCTIC MX-2 2019 Edition,https://pcpartpicker.com/product/bfFKHx/arctic-mx-2-2019-edition-4-g-thermal-paste-actcp00005b,,4
NOX Thermal 880,https://pcpartpicker.com/product/Gj3mP6/nox-thermal-880-23-g-thermal-paste-nxhummert880,,23
ARCTIC MX-5,https://pcpartpicker.com/product/bXvdnQ/arctic-mx-5-2-g-thermal-paste-actcp00051a,,2
ARCTIC MX-5 Incl. Spatula,https://pcpartpicker.com/product/WDxRsY/arctic-mx-5-incl-spatula-2-g-thermal-paste-actcp00052a,,2
ARCTIC MX-5 Incl. Spatula,https://pcpartpicker.com/product/jykWGX/arctic-mx-5-incl-spatula-4-g-thermal-paste-actcp00054a,,4
ARCTIC MX-5,https://pcpartpicker.com/product/zYH7YJ/arctic-mx-5-8-g-thermal-paste-actcp00055a,,8
ARCTIC MX-5 Incl. Spatula,https://pcpartpicker.com/product/Bb8bt6/arctic-mx-5-incl-spatula-8-g-thermal-paste-actcp00056a,,8
ARCTIC MX-5 Incl. Spatula,https://pcpartpicker.com/product/ZRkWGX/arctic-mx-5-incl-spatula-20-g-thermal-paste-actcp00058a,,20
EK EK-TIM Ectotherm,https://pcpartpicker.com/product/tFGbt6/ek-ek-tim-ectotherm-5-g-thermal-paste-3830046998453,,5
Iceberg Thermal FUZEIce,https://pcpartpicker.com/product/QKGbt6/iceberg-thermal-fuzeice-7-g-thermal-paste-blackice8g-00a,,7
Iceberg Thermal FUZEIce Plus,https://pcpartpicker.com/product/FCt9TW/iceberg-thermal-fuzeice-plus-35-g-thermal-paste-blackicep4g-00a,,3.5
Gelid Solutions GC-4,https://pcpartpicker.com/product/wCwmP6/gelid-solutions-gc-4-1-g-thermal-paste-tc-gc-04-a-1,,1
Gelid Solutions GC-Extreme,https://pcpartpicker.com/product/cyFmP6/gelid-solutions-gc-extreme-1-g-thermal-paste-tc-gc-03-d,,1
Gelid Solutions GC-Extreme,https://pcpartpicker.com/product/svRwrH/gelid-solutions-gc-extreme-35-g-thermal-paste-tc-gc-03-a-3-5g,,3.5
Gelid Solutions GC-Extreme,https://pcpartpicker.com/product/yLyH99/gelid-solutions-gc-extreme-10-g-thermal-paste-tc-gc-03-02,,10
Deepcool EX750,https://pcpartpicker.com/product/VfBG3C/deepcool-ex750-3-g-thermal-paste-ex7503g,,3
Deepcool EX750,https://pcpartpicker.com/product/m2C48d/deepcool-ex750-5-g-thermal-paste-ex7505g,,5
Enermax ETC521,https://pcpartpicker.com/product/3QXYcf/enermax-etc521-3-g-thermal-paste-etc521,,3
Thermalright TF8 EX,https://pcpartpicker.com/product/8NmNnQ/thermalright-tf8-ex-15-g-thermal-paste-tf8-ex-15g,,1.5
Thermalright TF8 EX,https://pcpartpicker.com/product/x3DQzy/thermalright-tf8-ex-29-g-thermal-paste-tf8-ex-29g,,2.9
Scythe Thermal Elixer 2,https://pcpartpicker.com/product/y4fxFT/scythe-thermal-elixer-2-5-g-thermal-paste-scte-2000,9.99,5
Zalman STC8,https://pcpartpicker.com/product/PVKscf/zalman-stc8-15-g-thermal-paste-zm-stc8,,1.5
Thermal Hero NEO,https://pcpartpicker.com/product/LDnXsY/thermal-hero-neo-2-g-thermal-paste-th-201202-us,,2
Thermal Hero NEO,https://pcpartpicker.com/product/M8Pv6h/thermal-hero-neo-10-g-thermal-paste-th-201210-us,16.89,10
