name,part_url,price,type,interface,capacity,price_per_gb,color
Crucial X9 Pro,https://pcpartpicker.com/product/spzXsY/crucial-x9-pro-1-tb-external-ssd-ct1000x9prossd902,,Portable,USB Type-C 3.2 Gen 2,1000,,Silver
Crucial X10,https://pcpartpicker.com/product/fcgZxr/crucial-x10-2-tb-external-ssd-ct2000x10ssd9,254.42,Portable,USB Type-C 3.2 Gen 2x2,2000,0.127,Blue
Kingston XS1000,https://pcpartpicker.com/product/MhFmP6/kingston-xs1000-2-tb-external-ssd-sxs10002000g,205,Portable,USB Type-C 3.2 Gen 2,2000,0.102,Black
Crucial X9 Pro,https://pcpartpicker.com/product/yWzXsY/crucial-x9-pro-2-tb-external-ssd-ct2000x9prossd902,265.99,Portable,USB Type-C 3.2 Gen 2,2000,0.133,Silver
Corsair EX100U,https://pcpartpicker.com/product/fywypg/corsair-ex100u-1-tb-external-ssd-cssd-ex100u1tb,,Portable,USB Type-C 3.2 Gen 2x2,1000,,Black
Lexar ARMOR 700,https://pcpartpicker.com/product/jZNYcf/lexar-armor-700-4-tb-external-ssd-lar700x004t-rnbng,444.99,Portable,USB Type-C 3.2 Gen 2x2,4000,0.111,Black
MSI DATAMAG,https://pcpartpicker.com/product/7LFCmG/msi-datamag-2-tb-external-ssd-datamag2tb,199.99,Portable,USB Type-C 3.2 Gen 2x2,2000,0.1,Black
Western Digital My Passport,https://pcpartpicker.com/product/rXgQzy/western-digital-2-tb-external-hard-drive-wdbyvg0020bbl-wesn,84.99,Portable,USB Type-A 3.2 Gen 1,2000,0.042,Blue
Western Digital easystore,https://pcpartpicker.com/product/xtGhP6/western-digital-easystore-20-tb-external-hard-drive-wdbama0200hbk-nesn,469.99,Desktop,USB Type-A,20000,0.023,Black
Western Digital My Passport,https://pcpartpicker.com/product/6d3mP6/western-digital-4-tb-external-hard-drive-wdbpkj0040bbl-wesn,154.99,Portable,USB Type-A 3.2 Gen 1,4000,0.039,Blue
Western Digital My Book Duo,https://pcpartpicker.com/product/FPFKHx/western-digital-my-book-duo-16-tb-external-hard-drive-wdbfbe0160jbk-nesn,509.99,Desktop,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",16000,0.032,Black
Seagate Expansion,https://pcpartpicker.com/product/BccMnQ/seagate-external-hard-drive-steb5000100,199.95,Desktop,USB Type-A 3.2 Gen 1,5000,0.04,
Samsung T5,https://pcpartpicker.com/product/qXQG3C/samsung-t5-500-gb-external-ssd-mu-pa500bam,277,Portable,USB Type-C 3.2 Gen 1,500,0.554,
Seagate Expansion,https://pcpartpicker.com/product/wMRgXL/seagate-expansion-10-tb-external-hard-drive-steb10000400,359.99,Desktop,USB Type-A 3.2 Gen 1,10000,0.036,Black
