name,part_url,rpm,color,size,manufacturer,part_number,height,supported_sockets,water_cooled_size,is_water_cooled
Cooler Master X6 Elite,https://pcpartpicker.com/product/PqvRsY/cooler-master-cpu-cooler-rrx6nn18pkr1,"600,1800",,,Cooler Master,RR-X6NN-18PK-R1,163.0,AM2|AM2+|AM3|AM3+|FM1|FM2|FM2+|LGA775|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1366|LGA2011|LGA2011-3|LGA2066,,False
Cooler Master Gemin II S524,https://pcpartpicker.com/product/2vMFf7/cooler-master-cpu-cooler-rrg52418pkr2,"800,1800",,,Cooler Master,RR-G524-18PK-R2,105.0,AM2|AM2+|AM3|AM3+|FM1|FM2|FM2+|LGA775|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1366,,False
Thermaltake Water 2.0 Performer,https://pcpartpicker.com/product/HdkD4D/thermaltake-water-20-performer-8132-cfm-liquid-cpu-cooler-clw0215,"1200,2000",,120.0,Thermaltake,CLW0215,,AM2|AM2+|AM3|AM3+|FM1|FM2|FM2+|LGA775|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1366|LGA2011|LGA2011-3|LGA2066,120.0,True
Phanteks PH-TC14CS,https://pcpartpicker.com/product/KrkD4D/phanteks-cpu-cooler-phtc14cs,"700,1200",,,Phanteks,PH-TC14CS,112.0,AM2|AM2+|AM3|AM3+|FM1|FM2|FM2+|LGA775|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1366|LGA2011|LGA2011-3|LGA2066,,False
Gelid Solutions Slim Silence A-Plus,https://pcpartpicker.com/product/hp6BD3/gelid-solutions-slim-silence-a-plus-20-cfm-ball-bearing-cpu-cooler-cc-ssilence-aplus,"1200,2600",,,Gelid Solutions,CC-Ssilence-APLUS,28.0,AM2|AM2+|AM3|AM3+|FM1|FM2|FM2+,,False
Masscool 7WA868,https://pcpartpicker.com/product/nqtCmG/masscool-cpu-cooler-7wa868,"800,2800",,,Masscool,7WA868,153.0,AM2|AM2+|AM3|AM3+|FM1|FM2|FM2+|LGA775|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1366|LGA2011|LGA2011-3|LGA2066,,False
Phanteks PH-TC14CS_RD,https://pcpartpicker.com/product/fCTmP6/phanteks-cpu-cooler-phtc14csrd,1300,,,Phanteks,PH-TC14CS_RD,112.0,AM2|AM2+|AM3|AM3+|FM1|FM2|FM2+|LGA775|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1366|LGA2011|LGA2011-3|LGA2066,,False
Silverstone SST-HE01,https://pcpartpicker.com/product/6xw323/silverstone-cpu-cooler-ssthe01,"500,2000",,,Silverstone,SST-HE01,161.0,AM2|AM2+|AM3|AM3+|FM1|FM2|FM2+|LGA775|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1366|LGA2011|LGA2011-3|LGA2066,,False
Masscool 8W2002F1M4,https://pcpartpicker.com/product/zCTmP6/masscool-cpu-cooler-8w2002f1m4,"800,2800",,,Masscool,8W2002F1M4,63.0,LGA1150|LGA1151|LGA1155|LGA1156|LGA1200,,False
Prolimatech PRO-MGH-B,https://pcpartpicker.com/product/TBCwrH/prolimatech-cpu-cooler-promghb,,,,Prolimatech,PRO-MGH-B,159.0,LGA775|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1366,,False
