name,part_url,interface,color,manufacturer,part_number
StarTech ST1000SPEX2L,https://pcpartpicker.com/product/kFQypg/startech-wired-network-card-st1000spex2l,PCIe x1,,StarTech,ST1000SPEX2L
TP-Link UE300,https://pcpartpicker.com/product/3p8H99/tp-link-ue300-network-adapter-ue300,USB Type-A 3.2 Gen 1,,TP-Link,UE300
StarTech ST2000PEXPSE,https://pcpartpicker.com/product/cqCwrH/startech-wired-network-card-st2000pexpse,PCIe x1,,StarTech,ST2000PEXPSE
Intel EXPI9404PTLBLK,https://pcpartpicker.com/product/C6Gkcf/intel-wired-network-card-expi9404ptlblk,PCIe x4,,Intel,EXPI9404PTLBLK
TP-Link UE300C,https://pcpartpicker.com/product/DcQfrH/tp-link-ue300c-gigabit-ethernet-usb-type-c-network-adapter-ue300c,USB Type-C,Black,TP-Link,UE300C
Asus ROG AREION,https://pcpartpicker.com/product/bNMTwP/asus-rog-areion-10-gbs-ethernet-pcie-x4-network-adapter-areion-10g,PCIe x4,Black,Asus,AREION 10G|ROG AREION 10G
Intel EXPI9402PTG2P20,https://pcpartpicker.com/product/CwGxFT/intel-expi9402ptg2p20-pcie-x4-1000-mbits-network-adapter-expi9402ptg2p20,PCIe x4,Green / Black,Intel,EXPI9402PTG2P20
Edimax EN-9130TXL,https://pcpartpicker.com/product/tQ8Zxr/edimax-wired-network-card-en9130txl,PCI,,Edimax,EN-9130TXL
Intel E1G44HT,https://pcpartpicker.com/product/TnPfrH/intel-wired-network-card-e1g44ht,PCIe x4,,Intel,E1G44HT
Gigabyte GC-AQC113C 10G,https://pcpartpicker.com/product/WxD7YJ/gigabyte-gc-aqc113c-10g-10-gbs-ethernet-pcie-x4-network-adapter-gc-aqc113c-10g,PCIe x4,White / Silver,Gigabyte,GC-AQC113C 10G
SIIG LB-GE0211-S1,https://pcpartpicker.com/product/wF7p99/siig-lb-ge0211-s1-10-gbs-ethernet-pcie-x4-network-adapter-lb-ge0211-s1,PCIe x4,Green / Black,SIIG,LB-GE0211-S1
Linksys USB3GIG,https://pcpartpicker.com/product/ncw7YJ/linksys-usb3gig-usb-30-1000-mbits-network-adapter-usb3gig,USB Type-A 3.2 Gen 1,Black,Linksys,USB3GIG
Asus PCE-C2500,https://pcpartpicker.com/product/hRdrxr/asus-pce-c2500-100-mbs-ethernet-pcie-x1-network-adapter-pce-c2500,PCIe x1,Red,Asus,PCE-C2500
Belkin F5D5000,https://pcpartpicker.com/product/hk2kcf/belkin-wired-network-card-f5d5000,PCI,,Belkin,F5D5000
QNAP QXG-2G1T-I225,https://pcpartpicker.com/product/93qPxr/qnap-qxg-2g1t-i225-25-gbs-ethernet-pcie-x1-network-adapter-qxg-2g1t-i225,PCIe x1,Green / Silver,QNAP,QXG-2G1T-I225
StarTech US2GC30,https://pcpartpicker.com/product/D9zXsY/startech-us2gc30-25-gbs-ethernet-usb-type-c-network-adapter-us2gc30,USB Type-C 3.2 Gen 1,Silver,StarTech,US2GC30
Lenovo 7ZT7A00482,https://pcpartpicker.com/product/bgbCmG/lenovo-7zt7a00482-pcie-x1-1000-mbits-network-adapter-7zt7a00482,PCIe x1,Green / Black,Lenovo,7ZT7A00482
StarTech PEX100S,https://pcpartpicker.com/product/Mc9KHx/startech-wired-network-card-pex100s,PCIe x1,,StarTech,PEX100S
StarTech USB32000SPT,https://pcpartpicker.com/product/nKW9TW/startech-wired-network-card-usb32000spt,USB Type-A 3.2 Gen 1,,StarTech,USB32000SPT
Syba SY-PEX24030,https://pcpartpicker.com/product/4dyFf7/syba-wired-network-card-sypex24030,PCIe x1,,Syba,SY-PEX24030
D-Link DFE530TX+,https://pcpartpicker.com/product/GJJwrH/d-link-wired-network-card-dfe530tx,PCI,,D-Link,DFE530TX+
Intel E10G42BT,https://pcpartpicker.com/product/78phP6/intel-wired-network-card-e10g42bt,PCIe x8,,Intel,E10G42BT
Acer NP.OTH11.005,https://pcpartpicker.com/product/kwR48d/acer-npoth11005-usb-20-10-mbits-network-adapter-npoth11005,USB Type-A 2.0,,Acer,NP.OTH11.005
QLogic QLE3242-CU-CK,https://pcpartpicker.com/product/QWg323/qlogic-wired-network-card-qle3242cuck,PCIe x8,,QLogic,QLE3242-CU-CK
TP-Link TG-3269,https://pcpartpicker.com/product/vx8Zxr/tp-link-wired-network-card-tg3269,PCI,,TP-Link,TG-3269
Supermicro AOC-STG-i2T,https://pcpartpicker.com/product/NqYQzy/supermicro-aoc-stg-i2t-pcie-x8-10-gbits-network-adapter-aoc-stg-i2t,PCIe x8,,Supermicro,AOC-STG-i2T
StarTech ST1000SPEX2,https://pcpartpicker.com/product/DZV48d/startech-wired-network-card-st1000spex2,PCIe x1,,StarTech,ST1000SPEX2
